parameter,from_value,to_value,candidate_index_left,candidate_index_right,logical_failure_left,logical_failure_right,logical_failure_delta,abs_logical_failure_delta,convergence_left,convergence_right,convergence_delta,abs_convergence_delta,mean_iterations_left,mean_iterations_right,fixed_fresh_negative,fixed_fresh_p_positive,fixed_previous_negative,fixed_previous_positive,fixed_previous_p_positive,fixed_fresh_positive
fresh_positive,0.7,0.85,245,326,0.9090909090909092,0.2631578947368421,-0.6459330143540671,0.6459330143540671,0.0909090909090909,0.7368421052631579,0.6459330143540669,0.6459330143540669,3353.6363636363635,1543.1315789473683,-0.02,0.9,-0.25,0.0,0.75,
fresh_p_positive,0.9,0.97,7,34,0.8333333333333334,0.217391304347826,-0.6159420289855073,0.6159420289855073,0.1666666666666666,0.7391304347826086,0.572463768115942,0.572463768115942,3318.833333333333,1635.0,-0.1,,-0.25,0.25,0.5,0.7
fresh_positive,0.7,0.85,55,136,0.8333333333333334,0.2222222222222222,-0.6111111111111112,0.6111111111111112,0.1666666666666666,0.7777777777777778,0.6111111111111112,0.6111111111111112,3161.583333333333,1198.7333333333331,-0.1,0.995,-0.25,0.0,0.5,
fresh_p_positive,0.9,0.97,5,32,0.8333333333333334,0.2272727272727272,-0.6060606060606062,0.6060606060606062,0.1666666666666666,0.75,0.5833333333333334,0.5833333333333334,3116.25,1396.5454545454545,-0.1,,-0.25,0.1,0.75,0.7
fresh_p_positive,0.9,0.97,12,39,1.0,0.4,-0.6,0.6,0.0,0.6,0.6,0.6,3680.0,2061.96,-0.1,,-0.1,0.1,0.25,0.7
fresh_positive,0.7,0.85,498,579,0.8333333333333334,0.25,-0.5833333333333334,0.5833333333333334,0.1666666666666666,0.75,0.5833333333333334,0.5833333333333334,3285.4166666666665,1423.85,0.0,0.9,-0.1,0.1,0.25,
fresh_p_positive,0.9,0.97,19,46,0.8333333333333334,0.25,-0.5833333333333334,0.5833333333333334,0.1666666666666666,0.7,0.5333333333333333,0.5333333333333333,3393.5,1735.2,-0.1,,0.0,0.0,0.5,0.7
fresh_positive,0.7,0.85,18,99,0.9090909090909092,0.3448275862068966,-0.5642633228840126,0.5642633228840126,0.0909090909090909,0.6206896551724138,0.5297805642633229,0.5297805642633229,3643.363636363637,2060.758620689656,-0.1,0.9,0.0,0.0,0.25,
fresh_positive,0.7,0.85,12,93,1.0,0.4545454545454545,-0.5454545454545455,0.5454545454545455,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,3680.0,2064.5,-0.1,0.9,-0.1,0.1,0.25,
previous_negative,-0.25,-0.1,405,414,0.7692307692307693,0.2325581395348837,-0.5366726296958856,0.5366726296958856,0.2307692307692307,0.7674418604651163,0.5366726296958856,0.5366726296958856,2927.230769230769,1294.5348837209303,-0.02,0.9,,0.0,0.25,1.0
fresh_p_positive,0.9,0.97,13,40,0.9090909090909092,0.3846153846153846,-0.5244755244755246,0.5244755244755246,0.0909090909090909,0.5769230769230769,0.486013986013986,0.486013986013986,3447.0,1868.1538461538464,-0.1,,-0.1,0.1,0.5,0.7
fresh_positive,0.7,0.85,15,96,0.9090909090909092,0.4,-0.5090909090909091,0.5090909090909091,0.0909090909090909,0.6,0.509090909090909,0.509090909090909,3408.090909090909,2046.8,-0.1,0.9,-0.1,0.25,0.25,
fresh_positive,0.7,0.85,13,94,0.9090909090909092,0.4,-0.5090909090909091,0.5090909090909091,0.0909090909090909,0.6,0.509090909090909,0.509090909090909,3447.0,2217.12,-0.1,0.9,-0.1,0.1,0.5,
fresh_p_positive,0.9,0.97,18,45,0.9090909090909092,0.4,-0.5090909090909091,0.5090909090909091,0.0909090909090909,0.6,0.509090909090909,0.509090909090909,3643.363636363637,1829.4,-0.1,,0.0,0.0,0.25,0.7
fresh_p_positive,0.9,0.97,15,42,0.9090909090909092,0.4166666666666667,-0.4924242424242425,0.4924242424242425,0.0909090909090909,0.5416666666666666,0.45075757575757575,0.45075757575757575,3408.090909090909,2078.625,-0.1,,-0.1,0.25,0.25,0.7
fresh_positive,0.7,0.85,298,379,0.7142857142857143,0.2222222222222222,-0.4920634920634921,0.4920634920634921,0.2857142857142857,0.7333333333333333,0.4476190476190476,0.4476190476190476,2837.285714285714,1289.8444444444444,-0.02,0.995,-0.25,0.0,0.5,
fresh_positive,0.7,0.85,514,595,0.7142857142857143,0.238095238095238,-0.4761904761904763,0.4761904761904763,0.2857142857142857,0.7619047619047619,0.47619047619047616,0.47619047619047616,2720.5,1420.142857142857,0.0,0.97,-0.25,0.0,0.5,
previous_negative,-0.25,-0.1,168,177,0.7142857142857143,0.238095238095238,-0.4761904761904763,0.4761904761904763,0.2857142857142857,0.7380952380952381,0.45238095238095244,0.45238095238095244,2930.214285714286,1490.595238095238,-0.1,0.9,,0.25,0.25,1.0
fresh_positive,0.7,0.85,10,91,0.9090909090909092,0.4347826086956521,-0.47430830039525707,0.47430830039525707,0.0909090909090909,0.5652173913043478,0.4743083003952569,0.4743083003952569,3345.909090909091,2142.521739130435,-0.1,0.9,-0.1,0.0,0.5,
fresh_positive,0.7,0.85,270,351,0.9090909090909092,0.4347826086956521,-0.47430830039525707,0.47430830039525707,0.0909090909090909,0.5652173913043478,0.4743083003952569,0.4743083003952569,3353.818181818182,2070.8695652173915,-0.02,0.97,-0.25,0.0,0.25,
fresh_positive,0.7,0.85,2,83,0.9090909090909092,0.4347826086956521,-0.47430830039525707,0.47430830039525707,0.0909090909090909,0.5652173913043478,0.4743083003952569,0.4743083003952569,3533.3636363636365,2423.217391304348,-0.1,0.9,-0.25,0.0,0.75,
fresh_positive,0.7,0.85,29,110,0.6666666666666666,0.2,-0.4666666666666666,0.4666666666666666,0.3333333333333333,0.76,0.4266666666666667,0.4266666666666667,2564.8,1051.62,-0.1,0.97,-0.25,0.0,0.75,
