parameter,from_value,to_value,neighbor_count,mean_abs_logical_failure_delta,median_abs_logical_failure_delta,max_abs_logical_failure_delta,mean_signed_logical_failure_delta,mean_abs_convergence_delta,max_abs_convergence_delta
fresh_positive,0.7,0.85,243,0.2376584032211344,0.2279874213836479,0.6459330143540671,-0.2376584032211344,0.25080271109509134,0.6459330143540669
fresh_p_positive,0.9,0.97,243,0.19870495075546246,0.162037037037037,0.6159420289855073,-0.19870495075546246,0.19914528760395261,0.6
previous_negative,-0.25,-0.1,243,0.1386215601356907,0.10588235294117654,0.5366726296958856,-0.13748204905291445,0.13552566536360572,0.5366726296958856
previous_p_positive,0.25,0.5,243,0.11933272359947002,0.0892857142857143,0.4444444444444444,-0.11518814358031433,0.12042368168351603,0.428921568627451
previous_positive,0.0,0.1,243,0.11096726824261957,0.08487654320987659,0.43939393939393945,-0.10669563407686247,0.11417194257299018,0.43290043290043295
previous_positive,0.1,0.25,243,0.09013432772960427,0.06894649751792611,0.4629629629629631,-0.08677834176343173,0.09521694386549391,0.462962962962963
previous_p_positive,0.5,0.75,243,0.0710678422710407,0.0446739382687398,0.4629629629629631,-0.06431903752721814,0.07252851203635602,0.462962962962963
previous_negative,-0.1,0.0,243,0.0682033573887971,0.04895700297999159,0.39855072463768126,-0.06588620609700398,0.07033196631329447,0.3452380952380952
fresh_negative,-0.1,-0.02,243,0.04903015807755781,0.017391304347825987,0.35714285714285726,-0.034409863763784826,0.0499754117767324,0.3571428571428572
fresh_positive,0.85,1.0,243,0.04143664430054758,0.021473563657186494,0.1847826086956521,-0.013571731777047942,0.04380526797627318,0.18518518518518523
fresh_negative,-0.02,0.0,243,0.036681204892890625,0.014855687606112,0.2136752136752137,-0.014931360362767331,0.037151666728931255,0.21367521367521372
fresh_p_positive,0.97,0.995,243,0.030085760697648373,0.014189317020873997,0.24999999999999994,-0.0072093307537143105,0.03205416214649047,0.25425170068027214
