parameter,value,count,grid_fraction,min_logical_failure_rate,median_logical_failure_rate,mean_logical_failure_rate,max_logical_failure_rate,mean_convergence_rate,median_convergence_rate,mean_iterations,best_rank,best_candidate_index,top_k_count,top_k_fraction_among_value,top_k_fraction_among_top,top_k_enrichment,top_decile_count,top_decile_fraction_among_value
fresh_negative,-0.1,243,0.3333333333333333,0.0218818380743982,0.217391304347826,0.3110759425862766,1.0,0.6794946360835378,0.7727272727272727,1494.9164622031747,2,161,7,0.02880658436213992,0.35,1.05,22,0.09053497942386832
fresh_negative,-0.02,243,0.3333333333333333,0.0221238938053097,0.2040816326530612,0.27666607882249183,1.0,0.7136065822206613,0.782608695652174,1347.6348400964346,3,386,5,0.0205761316872428,0.25,0.75,25,0.102880658436214
fresh_negative,0.0,243,0.3333333333333333,0.0206185567010309,0.2040816326530612,0.2617347184597244,0.9090909090909092,0.7284728977008773,0.7916666666666666,1301.516557874298,1,638,8,0.03292181069958848,0.4,1.2000000000000002,26,0.10699588477366255
fresh_p_positive,0.9,243,0.3333333333333333,0.0714285714285714,0.3703703703703703,0.4180319907110441,1.0,0.5729920578850514,0.6296296296296297,1987.3310542465495,145,584,0,0.0,0.0,0.0,0,0.0
fresh_p_positive,0.97,243,0.3333333333333333,0.026525198938992,0.1886792452830188,0.21932703995558153,0.9090909090909092,0.7720760956086327,0.8113207547169812,1121.642877261422,4,602,7,0.02880658436213992,0.35,1.05,34,0.13991769547325103
fresh_p_positive,0.995,243,0.3333333333333333,0.0206185567010309,0.1886792452830188,0.21211770920186723,0.9090909090909092,0.7765059625113924,0.8113207547169812,1035.0939286659363,1,638,13,0.053497942386831275,0.65,1.9500000000000002,39,0.16049382716049382
fresh_positive,0.7,243,0.3333333333333333,0.0495049504950495,0.4166666666666667,0.4461217593626031,1.0,0.534842178121396,0.5416666666666666,2041.0535511319858,48,71,0,0.0,0.0,0.0,6,0.024691358024691357
fresh_positive,0.85,243,0.3333333333333333,0.0206185567010309,0.196078431372549,0.20846335614146877,0.9090909090909092,0.7856448892164872,0.8,1100.4498478038818,1,638,17,0.06995884773662552,0.85,2.5500000000000003,35,0.1440329218106996
fresh_positive,1.0,243,0.3333333333333333,0.0298507462686567,0.1923076923076923,0.1948916243644208,0.8333333333333334,0.801087048667193,0.803921568627451,1002.56446123804,9,728,3,0.012345679012345678,0.15,0.45,32,0.13168724279835392
previous_negative,-0.25,243,0.3333333333333333,0.0221238938053097,0.3703703703703703,0.39677568135710856,1.0,0.5949083734658059,0.6296296296296297,1818.735464025155,3,386,4,0.01646090534979424,0.2,0.6000000000000001,12,0.04938271604938271
previous_negative,-0.1,243,0.3333333333333333,0.0206185567010309,0.2040816326530612,0.25929363230419405,1.0,0.7293104088248291,0.7916666666666666,1301.9650001534267,1,638,6,0.024691358024691357,0.3,0.9,23,0.09465020576131687
previous_negative,0.0,243,0.3333333333333333,0.0218818380743982,0.1724137931034483,0.19340742620719012,0.9090909090909092,0.7973553337144411,0.8275862068965517,1023.3673959953259,2,161,10,0.0411522633744856,0.5,1.5,38,0.15637860082304528
previous_p_positive,0.25,243,0.3333333333333333,0.0454545454545454,0.3448275862068966,0.38139068818544664,1.0,0.6076441833291294,0.6296296296296297,1758.7084599347045,43,699,0,0.0,0.0,0.0,8,0.03292181069958848
previous_p_positive,0.5,243,0.3333333333333333,0.0313479623824451,0.2040816326530612,0.2662025446051322,1.0,0.7240317719343986,0.7884615384615384,1337.2437627331292,17,727,2,0.00823045267489712,0.1,0.30000000000000004,19,0.07818930041152264
previous_p_positive,0.75,243,0.3333333333333333,0.0206185567010309,0.196078431372549,0.20188350707791405,0.9090909090909092,0.7898981607415483,0.803921568627451,1048.1156375060737,1,638,18,0.07407407407407407,0.9,2.7,46,0.18930041152263374
previous_positive,0.0,243,0.3333333333333333,0.0666666666666666,0.3333333333333333,0.3832154499285499,1.0,0.6034004555729705,0.6666666666666666,1755.7819331098985,113,479,0,0.0,0.0,0.0,0,0.0
previous_positive,0.1,243,0.3333333333333333,0.0454545454545454,0.2083333333333333,0.2765198158516874,1.0,0.713411803241421,0.78,1369.4412184462499,44,455,0,0.0,0.0,0.0,7,0.02880658436213992
previous_positive,0.25,243,0.3333333333333333,0.0206185567010309,0.1298701298701298,0.18974147408825562,1.0,0.8047618571906848,0.8571428571428571,1018.8447086177587,1,638,20,0.0823045267489712,1.0,3.0,66,0.2716049382716049
