candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations,source_csv,source_shard
638,63,0.0,0.85,0.995,-0.1,0.25,0.75,50000,1,485.0,10.0,10,True,0.0206185567010309,475,0.979381443298969,160.64536082474226,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_8/grid_results.csv,8
161,16,-0.1,0.85,0.995,0.0,0.25,0.75,50000,1,457.0,10.0,10,True,0.0218818380743982,447,0.9781181619256016,187.59080962800877,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_1/grid_results.csv,1
386,38,-0.02,0.85,0.995,-0.25,0.25,0.75,50000,1,452.0,10.0,10,True,0.0221238938053097,442,0.9778761061946902,199.38053097345133,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_6/grid_results.csv,6
602,60,0.0,0.85,0.97,-0.25,0.25,0.75,50000,1,377.0,10.0,10,True,0.026525198938992,366,0.9708222811671088,261.3050397877984,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_2/grid_results.csv,2
620,62,0.0,0.85,0.97,0.0,0.25,0.75,50000,1,370.0,10.0,10,True,0.027027027027027,360,0.972972972972973,207.0837837837838,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_0/grid_results.csv,0
134,13,-0.1,0.85,0.97,0.0,0.25,0.75,50000,1,357.0,10.0,10,True,0.0280112044817927,346,0.969187675070028,231.83193277310923,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_4/grid_results.csv,4
647,64,0.0,0.85,0.995,0.0,0.25,0.75,50000,1,335.0,10.0,10,True,0.0298507462686567,325,0.9701492537313432,189.9074626865672,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_7/grid_results.csv,7
404,40,-0.02,0.85,0.995,0.0,0.25,0.75,50000,1,335.0,10.0,10,True,0.0298507462686567,324,0.9671641791044776,198.17014925373132,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_4/grid_results.csv,4
728,72,0.0,1.0,0.995,0.0,0.25,0.75,50000,1,335.0,10.0,10,True,0.0298507462686567,325,0.9701492537313432,219.74029850746268,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_8/grid_results.csv,8
125,12,-0.1,0.85,0.97,-0.1,0.25,0.75,50000,1,335.0,10.0,10,True,0.0298507462686567,325,0.9701492537313432,226.3910447761194,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_5/grid_results.csv,5
395,39,-0.02,0.85,0.995,-0.1,0.25,0.75,50000,1,319.0,10.0,10,True,0.0313479623824451,309,0.9686520376175548,202.31974921630092,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_5/grid_results.csv,5
152,15,-0.1,0.85,0.995,-0.1,0.25,0.75,50000,1,319.0,10.0,10,True,0.0313479623824451,309,0.9686520376175548,208.89655172413796,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_2/grid_results.csv,2
377,37,-0.02,0.85,0.97,0.0,0.25,0.75,50000,1,319.0,10.0,10,True,0.0313479623824451,309,0.9686520376175548,228.1630094043887,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_7/grid_results.csv,7
143,14,-0.1,0.85,0.995,-0.25,0.25,0.75,50000,1,319.0,10.0,10,True,0.0313479623824451,309,0.9686520376175548,228.64890282131665,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_3/grid_results.csv,3
