candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations
5,0,-0.1,0.7,0.9,-0.25,0.1,0.75,50000,1,12,10,10,True,0.8333333333333334,2,0.16666666666666666,3116.25
15,1,-0.1,0.7,0.9,-0.1,0.25,0.25,50000,1,11,10,10,True,0.9090909090909091,1,0.09090909090909091,3408.090909090909
25,2,-0.1,0.7,0.9,0.0,0.25,0.5,50000,1,23,10,10,True,0.43478260869565216,13,0.5652173913043478,2243.608695652174
35,3,-0.1,0.7,0.97,-0.25,0.25,0.75,50000,1,62,10,10,True,0.16129032258064516,52,0.8387096774193549,890.9193548387096
45,4,-0.1,0.7,0.97,0.0,0.0,0.25,50000,1,25,10,10,True,0.4,15,0.6,1829.4
55,5,-0.1,0.7,0.995,-0.25,0.0,0.5,50000,1,12,10,10,True,0.8333333333333334,2,0.16666666666666666,3161.5833333333335
65,6,-0.1,0.7,0.995,-0.1,0.0,0.75,50000,1,21,10,10,True,0.47619047619047616,10,0.47619047619047616,2235.8571428571427
75,7,-0.1,0.7,0.995,0.0,0.1,0.25,50000,1,40,10,10,True,0.25,30,0.75,1212.7
85,8,-0.1,0.85,0.9,-0.25,0.1,0.5,50000,1,19,10,10,True,0.5263157894736842,9,0.47368421052631576,2598.684210526316
95,9,-0.1,0.85,0.9,-0.1,0.1,0.75,50000,1,40,10,10,True,0.25,30,0.75,1339.65
105,10,-0.1,0.85,0.9,0.0,0.25,0.25,50000,1,38,10,10,True,0.2631578947368421,28,0.7368421052631579,1518.4473684210527
115,11,-0.1,0.85,0.97,-0.25,0.25,0.5,50000,1,86,10,10,True,0.11627906976744186,76,0.8837209302325582,875.953488372093
125,12,-0.1,0.85,0.97,-0.1,0.25,0.75,50000,1,335,10,10,True,0.029850746268656716,325,0.9701492537313433,226.3910447761194
135,13,-0.1,0.85,0.995,-0.25,0.0,0.25,50000,1,21,10,10,True,0.47619047619047616,11,0.5238095238095238,2130.714285714286
145,14,-0.1,0.85,0.995,-0.1,0.0,0.5,50000,1,46,10,10,True,0.21739130434782608,36,0.782608695652174,946.4130434782609
155,15,-0.1,0.85,0.995,0.0,0.0,0.75,50000,1,72,10,10,True,0.1388888888888889,61,0.8472222222222222,792.0694444444445
165,16,-0.1,1.0,0.9,-0.25,0.1,0.25,50000,1,17,10,10,True,0.5882352941176471,7,0.4117647058823529,2680.529411764706
175,17,-0.1,1.0,0.9,-0.1,0.1,0.5,50000,1,44,10,10,True,0.22727272727272727,34,0.7727272727272727,1316.8636363636363
185,18,-0.1,1.0,0.9,0.0,0.1,0.75,50000,1,44,10,10,True,0.22727272727272727,34,0.7727272727272727,1220.2045454545455
195,19,-0.1,1.0,0.97,-0.25,0.25,0.25,50000,1,25,10,10,True,0.4,15,0.6,1800.56
205,20,-0.1,1.0,0.97,-0.1,0.25,0.5,50000,1,124,10,10,True,0.08064516129032258,114,0.9193548387096774,491.31451612903226
215,21,-0.1,1.0,0.97,0.0,0.25,0.75,50000,1,185,10,10,True,0.05405405405405406,174,0.9405405405405406,363.05945945945945
225,22,-0.1,1.0,0.995,-0.1,0.0,0.25,50000,1,46,10,10,True,0.21739130434782608,36,0.782608695652174,875.0217391304348
235,23,-0.1,1.0,0.995,0.0,0.0,0.5,50000,1,81,10,10,True,0.12345679012345678,71,0.8765432098765432,652.0493827160494
245,24,-0.02,0.7,0.9,-0.25,0.0,0.75,50000,1,11,10,10,True,0.9090909090909091,1,0.09090909090909091,3353.6363636363635
255,25,-0.02,0.7,0.9,-0.1,0.1,0.25,50000,1,12,10,10,True,0.8333333333333334,1,0.08333333333333333,3620.75
265,26,-0.02,0.7,0.9,0.0,0.1,0.5,50000,1,20,10,10,True,0.5,10,0.5,2159.55
275,27,-0.02,0.7,0.97,-0.25,0.1,0.75,50000,1,46,10,10,True,0.21739130434782608,34,0.7391304347826086,1385.5652173913043
285,28,-0.02,0.7,0.97,-0.1,0.25,0.25,50000,1,27,10,10,True,0.37037037037037035,17,0.6296296296296297,1780.3333333333333
295,29,-0.02,0.7,0.97,0.0,0.25,0.5,50000,1,149,10,10,True,0.06711409395973154,138,0.9261744966442953,534.771812080537
305,30,-0.02,0.7,0.995,-0.25,0.25,0.75,50000,1,169,10,10,True,0.05917159763313609,158,0.9349112426035503,440.56804733727813
315,31,-0.02,0.7,0.995,0.0,0.0,0.25,50000,1,25,10,10,True,0.4,14,0.56,1900.76
325,32,-0.02,0.85,0.9,-0.25,0.0,0.5,50000,1,18,10,10,True,0.5555555555555556,8,0.4444444444444444,2488.3888888888887
335,33,-0.02,0.85,0.9,-0.1,0.0,0.75,50000,1,40,10,10,True,0.25,30,0.75,1622.05
345,34,-0.02,0.85,0.9,0.0,0.1,0.25,50000,1,45,10,10,True,0.2222222222222222,34,0.7555555555555555,1372.9333333333334
355,35,-0.02,0.85,0.97,-0.25,0.1,0.5,50000,1,50,10,10,True,0.2,40,0.8,1068.04
365,36,-0.02,0.85,0.97,-0.1,0.1,0.75,50000,1,149,10,10,True,0.06711409395973154,139,0.9328859060402684,401.5570469798658
375,37,-0.02,0.85,0.97,0.0,0.25,0.25,50000,1,202,10,10,True,0.04950495049504951,192,0.9504950495049505,385.8019801980198
385,38,-0.02,0.85,0.995,-0.25,0.25,0.5,50000,1,149,10,10,True,0.06711409395973154,139,0.9328859060402684,470.8590604026846
395,39,-0.02,0.85,0.995,-0.1,0.25,0.75,50000,1,319,10,10,True,0.03134796238244514,309,0.9686520376175548,202.31974921630095
405,40,-0.02,1.0,0.9,-0.25,0.0,0.25,50000,1,13,10,10,True,0.7692307692307693,3,0.23076923076923078,2927.230769230769
415,41,-0.02,1.0,0.9,-0.1,0.0,0.5,50000,1,38,10,10,True,0.2631578947368421,28,0.7368421052631579,1334.7105263157894
425,42,-0.02,1.0,0.9,0.0,0.0,0.75,50000,1,48,10,10,True,0.20833333333333334,38,0.7916666666666666,1137.9166666666667
435,43,-0.02,1.0,0.97,-0.25,0.1,0.25,50000,1,21,10,10,True,0.47619047619047616,11,0.5238095238095238,2376.6190476190477
445,44,-0.02,1.0,0.97,-0.1,0.1,0.5,50000,1,82,10,10,True,0.12195121951219512,72,0.8780487804878049,736.0853658536586
455,45,-0.02,1.0,0.97,0.0,0.1,0.75,50000,1,220,10,10,True,0.045454545454545456,209,0.95,326.17727272727274
465,46,-0.02,1.0,0.995,-0.25,0.25,0.25,50000,1,25,10,10,True,0.4,15,0.6,1678.44
475,47,-0.02,1.0,0.995,-0.1,0.25,0.5,50000,1,152,10,10,True,0.06578947368421052,141,0.9276315789473685,400.4144736842105
485,48,-0.02,1.0,0.995,0.0,0.25,0.75,50000,1,290,10,10,True,0.034482758620689655,280,0.9655172413793104,187.3551724137931
495,49,0.0,0.7,0.9,-0.1,0.0,0.25,50000,1,12,10,10,True,0.8333333333333334,2,0.16666666666666666,3363.4166666666665
505,50,0.0,0.7,0.9,0.0,0.0,0.5,50000,1,20,10,10,True,0.5,8,0.4,2678.95
515,51,0.0,0.7,0.97,-0.25,0.0,0.75,50000,1,18,10,10,True,0.5555555555555556,8,0.4444444444444444,2193.5
525,52,0.0,0.7,0.97,-0.1,0.1,0.25,50000,1,26,10,10,True,0.38461538461538464,14,0.5384615384615384,2086.230769230769
535,53,0.0,0.7,0.97,0.0,0.1,0.5,50000,1,48,10,10,True,0.20833333333333334,38,0.7916666666666666,1099.7708333333333
545,54,0.0,0.7,0.995,-0.25,0.1,0.75,50000,1,48,10,10,True,0.20833333333333334,37,0.7708333333333334,1136.4791666666667
555,55,0.0,0.7,0.995,-0.1,0.25,0.25,50000,1,48,10,10,True,0.20833333333333334,37,0.7708333333333334,1378.2291666666667
565,56,0.0,0.7,0.995,0.0,0.25,0.5,50000,1,152,10,10,True,0.06578947368421052,142,0.9342105263157895,427.23026315789474
575,57,0.0,0.85,0.9,-0.25,0.25,0.75,50000,1,63,10,10,True,0.15873015873015872,53,0.8412698412698413,1122.5396825396826
585,58,0.0,0.85,0.9,0.0,0.0,0.25,50000,1,40,10,10,True,0.25,29,0.725,1401.175
595,59,0.0,0.85,0.97,-0.25,0.0,0.5,50000,1,42,10,10,True,0.23809523809523808,32,0.7619047619047619,1420.142857142857
