ranking,decoder,point_id,width_idx,center_idx,center,width,interval_low,interval_high,relay_seed,circuit,memory,p,basis_filter_applied,shots,logical_error_count,seconds,logical_error_rate,logical_success_rate,stderr,relative_error,hit_target,shot_cap_reached,raw_interval_low,raw_interval_high,effective_center,effective_width,interval_clipped
lowest logical error,relay-bp-paper-damping-c0p000-w2p000,110,10,0,0.0,2.0,0.0,1.0,110000330,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2912,6,468.20099999999985,0.0020604395604395605,0.9979395604395604,0.0008403038903748038,0.4078274881285714,True,False,-1.0,1.0,0.5,1.0,True
lowest logical error,relay-bp-paper-damping-c0p600-w2p000,116,10,6,0.6000000000000001,2.0,0.0,1.0,116000348,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2372,5,343.7709999999999,0.0021079258010118043,0.9978920741989882,0.000941698988846283,0.44674200030867667,True,False,-0.3999999999999999,1.6,0.5,1.0,True
lowest logical error,relay-bp-paper-damping-c0p700-w1p600,95,8,7,0.7000000000000001,1.6,0.0,1.0,95000285,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2795,6,443.48400000000004,0.002146690518783542,0.9978533094812164,0.0008754415678252008,0.40780986367857275,True,False,-0.09999999999999998,1.5,0.5,1.0,True
lowest logical error,relay-bp-paper-damping-c0p400-w1p400,81,7,4,0.4,1.4000000000000001,0.0,1.0,81000243,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2601,7,364.44800000000004,0.002691272587466359,0.9973087274125336,0.0010158357145203943,0.3774555276382208,True,False,-0.30000000000000004,1.1,0.5,1.0,True
lowest logical error,relay-bp-paper-damping-c0p200-w1p800,101,9,2,0.2,1.8,0.0,1.0,101000303,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2521,7,374.044,0.002776675922253074,0.9972233240777469,0.0010480267991742043,0.3774393658168813,True,False,-0.7,1.1,0.5,1.0,True
lowest logical error,relay-bp-paper-damping-c0p400-w2p000,114,10,4,0.4,2.0,0.0,1.0,114000342,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2831,8,486.14799999999997,0.00282585658777817,0.9971741434122219,0.0009976785350582417,0.3530534915937353,True,False,-0.6,1.4,0.5,1.0,True
lowest logical error,relay-bp-paper-damping-c0p300-w1p000,58,5,3,0.30000000000000004,1.0,0.0,0.8,58000174,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2313,7,427.205,0.0030263726761781237,0.9969736273238219,0.0011421291667542699,0.377392108957518,True,False,-0.19999999999999996,0.8,0.4,0.8,True
lowest logical error,relay-bp-paper-damping-c0p500-w2p000,115,10,5,0.5,2.0,0.0,1.0,115000345,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2770,9,427.03700000000003,0.003249097472924188,0.9967509025270758,0.0010812716204362692,0.3327913765120517,True,False,-0.5,1.5,0.5,1.0,True
most sampled,relay-bp-paper-damping-c0p000-w2p000,110,10,0,0.0,2.0,0.0,1.0,110000330,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2912,6,468.20099999999985,0.0020604395604395605,0.9979395604395604,0.0008403038903748038,0.4078274881285714,True,False,-1.0,1.0,0.5,1.0,True
most sampled,relay-bp-paper-damping-c0p400-w2p000,114,10,4,0.4,2.0,0.0,1.0,114000342,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2831,8,486.14799999999997,0.00282585658777817,0.9971741434122219,0.0009976785350582417,0.3530534915937353,True,False,-0.6,1.4,0.5,1.0,True
most sampled,relay-bp-paper-damping-c0p700-w1p600,95,8,7,0.7000000000000001,1.6,0.0,1.0,95000285,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2795,6,443.48400000000004,0.002146690518783542,0.9978533094812164,0.0008754415678252008,0.40780986367857275,True,False,-0.09999999999999998,1.5,0.5,1.0,True
most sampled,relay-bp-paper-damping-c0p500-w2p000,115,10,5,0.5,2.0,0.0,1.0,115000345,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2770,9,427.03700000000003,0.003249097472924188,0.9967509025270758,0.0010812716204362692,0.3327913765120517,True,False,-0.5,1.5,0.5,1.0,True
most sampled,relay-bp-paper-damping-c0p400-w1p800,103,9,4,0.4,1.8,0.0,1.0,103000309,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2610,9,416.6259999999999,0.0034482758620689655,0.996551724137931,0.0011474418082471217,0.3327581243916653,True,False,-0.5,1.3,0.5,1.0,True
most sampled,relay-bp-paper-damping-c0p400-w1p400,81,7,4,0.4,1.4000000000000001,0.0,1.0,81000243,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2601,7,364.44800000000004,0.002691272587466359,0.9973087274125336,0.0010158357145203943,0.3774555276382208,True,False,-0.30000000000000004,1.1,0.5,1.0,True
