decoder,point_id,width_idx,center_idx,center,width,interval_low,interval_high,relay_seed,circuit,memory,p,basis_filter_applied,shots,logical_error_count,seconds,logical_error_rate,logical_success_rate,stderr,relative_error,hit_target,shot_cap_reached,raw_interval_low,raw_interval_high,effective_center,effective_width,interval_clipped
relay-bp-paper-damping-c0p000-w0p000,0,0,0,0.0,0.0,0.0,0.0,0,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,16,16,335.79999999999995,1.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,0.0,False
relay-bp-paper-damping-c0p100-w0p000,1,0,1,0.1,0.0,0.1,0.1,1000003,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,212,24,642.492,0.11320754716981132,0.8867924528301887,0.021761095460252414,0.19222300989889632,True,False,0.1,0.1,0.1,0.0,False
relay-bp-paper-damping-c0p200-w0p000,2,0,2,0.2,0.0,0.2,0.2,2000006,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,448,29,640.6450000000001,0.06473214285714286,0.9352678571428571,0.011624893676382565,0.1795845643799789,True,False,0.2,0.2,0.2,0.0,False
relay-bp-paper-damping-c0p300-w0p000,3,0,3,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,3000009,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,248,15,422.90999999999997,0.06048387096774194,0.939516129032258,0.015137218114966784,0.25026867283411747,True,False,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.0,False
relay-bp-paper-damping-c0p400-w0p000,4,0,4,0.4,0.0,0.4,0.4,4000012,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,432,17,414.38,0.03935185185185185,0.9606481481481481,0.009354549745642907,0.23771561706574915,True,False,0.4,0.4,0.4,0.0,False
relay-bp-paper-damping-c0p500-w0p000,5,0,5,0.5,0.0,0.5,0.5,5000015,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,492,21,582.742,0.042682926829268296,0.9573170731707317,0.009113232426380163,0.21351001684662094,True,False,0.5,0.5,0.5,0.0,False
relay-bp-paper-damping-c0p600-w0p000,6,0,6,0.6000000000000001,0.0,0.6000000000000001,0.6000000000000001,6000018,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,704,27,603.3509999999999,0.03835227272727273,0.9616477272727273,0.0072379774830645125,0.18872356103990431,True,False,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,False
relay-bp-paper-damping-c0p700-w0p000,7,0,7,0.7000000000000001,0.0,0.7000000000000001,0.7000000000000001,7000021,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,688,22,521.0409999999999,0.03197674418604651,0.9680232558139534,0.00670757901960348,0.209764289340327,True,False,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,False
relay-bp-paper-damping-c0p800-w0p000,8,0,8,0.8,0.0,0.8,0.8,8000024,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,488,20,453.257,0.040983606557377046,0.9590163934426229,0.008974457213474812,0.21897675600878544,True,False,0.8,0.8,0.8,0.0,False
relay-bp-paper-damping-c0p900-w0p000,9,0,9,0.9,0.0,0.9,0.9,9000027,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,248,16,490.53200000000004,0.06451612903225806,0.935483870967742,0.015600066962086316,0.2418010379123379,True,False,0.9,0.9,0.9,0.0,False
relay-bp-paper-damping-c1p000-w0p000,10,0,10,1.0,0.0,1.0,1.0,10000030,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,232,27,552.627,0.11637931034482758,0.8836206896551724,0.021053622678328353,0.18090520227304363,True,False,1.0,1.0,1.0,0.0,False
relay-bp-paper-damping-c0p000-w0p200,11,1,0,0.0,0.2,0.0,0.1,11000033,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,130,12,462.57400000000007,0.09230769230769231,0.9076923076923077,0.02538730486021594,0.2750291359856727,True,False,-0.1,0.1,0.05,0.1,True
relay-bp-paper-damping-c0p100-w0p200,12,1,1,0.1,0.2,0.0,0.2,12000036,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,557,8,449.54600000000005,0.01436265709156194,0.9856373429084381,0.005041367681694381,0.35100522483797125,True,False,0.0,0.2,0.1,0.2,False
relay-bp-paper-damping-c0p200-w0p200,13,1,2,0.2,0.2,0.1,0.30000000000000004,13000039,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1200,17,498.471,0.014166666666666666,0.9858333333333333,0.003411496766110908,0.24081153643135825,True,False,0.1,0.30000000000000004,0.2,0.20000000000000004,False
relay-bp-paper-damping-c0p300-w0p200,14,1,3,0.30000000000000004,0.2,0.20000000000000004,0.4,14000042,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,608,13,468.32800000000003,0.02138157894736842,0.9786184210526315,0.005866442119372173,0.2743689852752524,True,False,0.20000000000000004,0.4,0.30000000000000004,0.19999999999999998,False
relay-bp-paper-damping-c0p400-w0p200,15,1,4,0.4,0.2,0.30000000000000004,0.5,15000045,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1134,12,437.77,0.010582010582010581,0.9894179894179894,0.0030385575737172325,0.2871436907162785,True,False,0.30000000000000004,0.5,0.4,0.19999999999999996,False
relay-bp-paper-damping-c0p500-w0p200,16,1,5,0.5,0.2,0.4,0.6,16000048,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1320,15,501.267,0.011363636363636364,0.9886363636363636,0.002917359761661764,0.25672765902623523,True,False,0.4,0.6,0.5,0.19999999999999996,False
relay-bp-paper-damping-c0p600-w0p200,17,1,6,0.6000000000000001,0.2,0.5000000000000001,0.7000000000000001,17000051,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1020,7,296.34700000000004,0.006862745098039216,0.9931372549019608,0.002584957963734245,0.37666530328699,True,False,0.5000000000000001,0.7000000000000001,0.6000000000000001,0.19999999999999996,False
relay-bp-paper-damping-c0p700-w0p200,18,1,7,0.7000000000000001,0.2,0.6000000000000001,0.8,18000054,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1773,13,417.91999999999996,0.007332205301748449,0.9926677946982515,0.0020261188016220113,0.27633143348275585,True,False,0.6000000000000001,0.8,0.7000000000000001,0.19999999999999996,False
relay-bp-paper-damping-c0p800-w0p200,19,1,8,0.8,0.2,0.7000000000000001,0.9,19000057,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1744,18,468.55499999999995,0.010321100917431193,0.9896788990825688,0.002420120148431888,0.23448275215917846,True,False,0.7000000000000001,0.9,0.8,0.19999999999999996,False
relay-bp-paper-damping-c0p900-w0p200,20,1,9,0.9,0.2,0.8,1.0,20000060,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1479,15,452.03,0.010141987829614604,0.9898580121703854,0.0026053369981418493,0.25688622801678634,True,False,0.8,1.0,0.9,0.19999999999999996,False
relay-bp-paper-damping-c1p000-w0p200,21,1,10,1.0,0.2,0.9,1.0,21000063,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1272,13,442.46900000000005,0.010220125786163521,0.9897798742138365,0.0028200309466663775,0.27592918185843324,True,False,0.9,1.1,0.95,0.09999999999999998,True
relay-bp-paper-damping-c0p000-w0p400,22,2,0,0.0,0.4,0.0,0.2,22000066,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,362,12,455.402,0.03314917127071823,0.9668508287292817,0.009409396930373525,0.2838501407329347,True,False,-0.2,0.2,0.1,0.2,True
