point_id,width_idx,center_idx,center,width,raw_interval_low,raw_interval_high,interval_low,interval_high,effective_center,effective_width,interval_clipped,decoder,relay_seed
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,relay-bp-paper-damping-c0p000-w0p000,0
1,0,1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,False,relay-bp-paper-damping-c0p100-w0p000,1000003
2,0,2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.0,False,relay-bp-paper-damping-c0p200-w0p000,2000006
3,0,3,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.0,False,relay-bp-paper-damping-c0p300-w0p000,3000009
4,0,4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.0,False,relay-bp-paper-damping-c0p400-w0p000,4000012
5,0,5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,False,relay-bp-paper-damping-c0p500-w0p000,5000015
6,0,6,0.6000000000000001,0.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,False,relay-bp-paper-damping-c0p600-w0p000,6000018
7,0,7,0.7000000000000001,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,False,relay-bp-paper-damping-c0p700-w0p000,7000021
8,0,8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.0,False,relay-bp-paper-damping-c0p800-w0p000,8000024
9,0,9,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.0,False,relay-bp-paper-damping-c0p900-w0p000,9000027
10,0,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,False,relay-bp-paper-damping-c1p000-w0p000,10000030
11,1,0,0.0,0.2,-0.1,0.1,0.0,0.1,0.05,0.1,True,relay-bp-paper-damping-c0p000-w0p200,11000033
12,1,1,0.1,0.2,0.0,0.2,0.0,0.2,0.1,0.2,False,relay-bp-paper-damping-c0p100-w0p200,12000036
13,1,2,0.2,0.2,0.1,0.30000000000000004,0.1,0.30000000000000004,0.2,0.20000000000000004,False,relay-bp-paper-damping-c0p200-w0p200,13000039
14,1,3,0.30000000000000004,0.2,0.20000000000000004,0.4,0.20000000000000004,0.4,0.30000000000000004,0.19999999999999998,False,relay-bp-paper-damping-c0p300-w0p200,14000042
15,1,4,0.4,0.2,0.30000000000000004,0.5,0.30000000000000004,0.5,0.4,0.19999999999999996,False,relay-bp-paper-damping-c0p400-w0p200,15000045
16,1,5,0.5,0.2,0.4,0.6,0.4,0.6,0.5,0.19999999999999996,False,relay-bp-paper-damping-c0p500-w0p200,16000048
17,1,6,0.6000000000000001,0.2,0.5000000000000001,0.7000000000000001,0.5000000000000001,0.7000000000000001,0.6000000000000001,0.19999999999999996,False,relay-bp-paper-damping-c0p600-w0p200,17000051
18,1,7,0.7000000000000001,0.2,0.6000000000000001,0.8,0.6000000000000001,0.8,0.7000000000000001,0.19999999999999996,False,relay-bp-paper-damping-c0p700-w0p200,18000054
19,1,8,0.8,0.2,0.7000000000000001,0.9,0.7000000000000001,0.9,0.8,0.19999999999999996,False,relay-bp-paper-damping-c0p800-w0p200,19000057
20,1,9,0.9,0.2,0.8,1.0,0.8,1.0,0.9,0.19999999999999996,False,relay-bp-paper-damping-c0p900-w0p200,20000060
21,1,10,1.0,0.2,0.9,1.1,0.9,1.0,0.95,0.09999999999999998,True,relay-bp-paper-damping-c1p000-w0p200,21000063
22,2,0,0.0,0.4,-0.2,0.2,0.0,0.2,0.1,0.2,True,relay-bp-paper-damping-c0p000-w0p400,22000066
23,2,1,0.1,0.4,-0.1,0.30000000000000004,0.0,0.30000000000000004,0.15000000000000002,0.30000000000000004,True,relay-bp-paper-damping-c0p100-w0p400,23000069
24,2,2,0.2,0.4,0.0,0.4,0.0,0.4,0.2,0.4,False,relay-bp-paper-damping-c0p200-w0p400,24000072
25,2,3,0.30000000000000004,0.4,0.10000000000000003,0.5,0.10000000000000003,0.5,0.30000000000000004,0.39999999999999997,False,relay-bp-paper-damping-c0p300-w0p400,25000075
26,2,4,0.4,0.4,0.2,0.6000000000000001,0.2,0.6000000000000001,0.4,0.4000000000000001,False,relay-bp-paper-damping-c0p400-w0p400,26000078
27,2,5,0.5,0.4,0.3,0.7,0.3,0.7,0.5,0.39999999999999997,False,relay-bp-paper-damping-c0p500-w0p400,27000081
28,2,6,0.6000000000000001,0.4,0.4000000000000001,0.8,0.4000000000000001,0.8,0.6000000000000001,0.39999999999999997,False,relay-bp-paper-damping-c0p600-w0p400,28000084
29,2,7,0.7000000000000001,0.4,0.5,0.9000000000000001,0.5,0.9000000000000001,0.7000000000000001,0.40000000000000013,False,relay-bp-paper-damping-c0p700-w0p400,29000087
30,2,8,0.8,0.4,0.6000000000000001,1.0,0.6000000000000001,1.0,0.8,0.3999999999999999,False,relay-bp-paper-damping-c0p800-w0p400,30000090
31,2,9,0.9,0.4,0.7,1.1,0.7,1.0,0.85,0.30000000000000004,True,relay-bp-paper-damping-c0p900-w0p400,31000093
32,2,10,1.0,0.4,0.8,1.2,0.8,1.0,0.9,0.19999999999999996,True,relay-bp-paper-damping-c1p000-w0p400,32000096
33,3,0,0.0,0.6000000000000001,-0.30000000000000004,0.30000000000000004,0.0,0.30000000000000004,0.15000000000000002,0.30000000000000004,True,relay-bp-paper-damping-c0p000-w0p600,33000099
34,3,1,0.1,0.6000000000000001,-0.20000000000000004,0.4,0.0,0.4,0.2,0.4,True,relay-bp-paper-damping-c0p100-w0p600,34000102
35,3,2,0.2,0.6000000000000001,-0.10000000000000003,0.5,0.0,0.5,0.25,0.5,True,relay-bp-paper-damping-c0p200-w0p600,35000105
36,3,3,0.30000000000000004,0.6000000000000001,0.0,0.6000000000000001,0.0,0.6000000000000001,0.30000000000000004,0.6000000000000001,False,relay-bp-paper-damping-c0p300-w0p600,36000108
37,3,4,0.4,0.6000000000000001,0.09999999999999998,0.7000000000000001,0.09999999999999998,0.7000000000000001,0.4,0.6000000000000001,False,relay-bp-paper-damping-c0p400-w0p600,37000111
38,3,5,0.5,0.6000000000000001,0.19999999999999996,0.8,0.19999999999999996,0.8,0.5,0.6000000000000001,False,relay-bp-paper-damping-c0p500-w0p600,38000114
39,3,6,0.6000000000000001,0.6000000000000001,0.30000000000000004,0.9000000000000001,0.30000000000000004,0.9000000000000001,0.6000000000000001,0.6000000000000001,False,relay-bp-paper-damping-c0p600-w0p600,39000117
40,3,7,0.7000000000000001,0.6000000000000001,0.4,1.0,0.4,1.0,0.7,0.6,False,relay-bp-paper-damping-c0p700-w0p600,40000120
41,3,8,0.8,0.6000000000000001,0.5,1.1,0.5,1.0,0.75,0.5,True,relay-bp-paper-damping-c0p800-w0p600,41000123
42,3,9,0.9,0.6000000000000001,0.6,1.2000000000000002,0.6,1.0,0.8,0.4,True,relay-bp-paper-damping-c0p900-w0p600,42000126
43,3,10,1.0,0.6000000000000001,0.7,1.3,0.7,1.0,0.85,0.30000000000000004,True,relay-bp-paper-damping-c1p000-w0p600,43000129
44,4,0,0.0,0.8,-0.4,0.4,0.0,0.4,0.2,0.4,True,relay-bp-paper-damping-c0p000-w0p800,44000132
45,4,1,0.1,0.8,-0.30000000000000004,0.5,0.0,0.5,0.25,0.5,True,relay-bp-paper-damping-c0p100-w0p800,45000135
46,4,2,0.2,0.8,-0.2,0.6000000000000001,0.0,0.6000000000000001,0.30000000000000004,0.6000000000000001,True,relay-bp-paper-damping-c0p200-w0p800,46000138
47,4,3,0.30000000000000004,0.8,-0.09999999999999998,0.7000000000000001,0.0,0.7000000000000001,0.35000000000000003,0.7000000000000001,True,relay-bp-paper-damping-c0p300-w0p800,47000141
48,4,4,0.4,0.8,0.0,0.8,0.0,0.8,0.4,0.8,False,relay-bp-paper-damping-c0p400-w0p800,48000144
49,4,5,0.5,0.8,0.09999999999999998,0.9,0.09999999999999998,0.9,0.5,0.8,False,relay-bp-paper-damping-c0p500-w0p800,49000147
50,4,6,0.6000000000000001,0.8,0.20000000000000007,1.0,0.20000000000000007,1.0,0.6000000000000001,0.7999999999999999,False,relay-bp-paper-damping-c0p600-w0p800,50000150
51,4,7,0.7000000000000001,0.8,0.30000000000000004,1.1,0.30000000000000004,1.0,0.65,0.7,True,relay-bp-paper-damping-c0p700-w0p800,51000153
52,4,8,0.8,0.8,0.4,1.2000000000000002,0.4,1.0,0.7,0.6,True,relay-bp-paper-damping-c0p800-w0p800,52000156
53,4,9,0.9,0.8,0.5,1.3,0.5,1.0,0.75,0.5,True,relay-bp-paper-damping-c0p900-w0p800,53000159
54,4,10,1.0,0.8,0.6,1.4,0.6,1.0,0.8,0.4,True,relay-bp-paper-damping-c1p000-w0p800,54000162
55,5,0,0.0,1.0,-0.5,0.5,0.0,0.5,0.25,0.5,True,relay-bp-paper-damping-c0p000-w1p000,55000165
56,5,1,0.1,1.0,-0.4,0.6,0.0,0.6,0.3,0.6,True,relay-bp-paper-damping-c0p100-w1p000,56000168
57,5,2,0.2,1.0,-0.3,0.7,0.0,0.7,0.35,0.7,True,relay-bp-paper-damping-c0p200-w1p000,57000171
58,5,3,0.30000000000000004,1.0,-0.19999999999999996,0.8,0.0,0.8,0.4,0.8,True,relay-bp-paper-damping-c0p300-w1p000,58000174
59,5,4,0.4,1.0,-0.09999999999999998,0.9,0.0,0.9,0.45,0.9,True,relay-bp-paper-damping-c0p400-w1p000,59000177
60,5,5,0.5,1.0,0.0,1.0,0.0,1.0,0.5,1.0,False,relay-bp-paper-damping-c0p500-w1p000,60000180
61,5,6,0.6000000000000001,1.0,0.10000000000000009,1.1,0.10000000000000009,1.0,0.55,0.8999999999999999,True,relay-bp-paper-damping-c0p600-w1p000,61000183
62,5,7,0.7000000000000001,1.0,0.20000000000000007,1.2000000000000002,0.20000000000000007,1.0,0.6000000000000001,0.7999999999999999,True,relay-bp-paper-damping-c0p700-w1p000,62000186
63,5,8,0.8,1.0,0.30000000000000004,1.3,0.30000000000000004,1.0,0.65,0.7,True,relay-bp-paper-damping-c0p800-w1p000,63000189
64,5,9,0.9,1.0,0.4,1.4,0.4,1.0,0.7,0.6,True,relay-bp-paper-damping-c0p900-w1p000,64000192
65,5,10,1.0,1.0,0.5,1.5,0.5,1.0,0.75,0.5,True,relay-bp-paper-damping-c1p000-w1p000,65000195
66,6,0,0.0,1.2000000000000002,-0.6000000000000001,0.6000000000000001,0.0,0.6000000000000001,0.30000000000000004,0.6000000000000001,True,relay-bp-paper-damping-c0p000-w1p200,66000198
67,6,1,0.1,1.2000000000000002,-0.5000000000000001,0.7000000000000001,0.0,0.7000000000000001,0.35000000000000003,0.7000000000000001,True,relay-bp-paper-damping-c0p100-w1p200,67000201
68,6,2,0.2,1.2000000000000002,-0.4000000000000001,0.8,0.0,0.8,0.4,0.8,True,relay-bp-paper-damping-c0p200-w1p200,68000204
69,6,3,0.30000000000000004,1.2000000000000002,-0.30000000000000004,0.9000000000000001,0.0,0.9000000000000001,0.45000000000000007,0.9000000000000001,True,relay-bp-paper-damping-c0p300-w1p200,69000207
70,6,4,0.4,1.2000000000000002,-0.20000000000000007,1.0,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p400-w1p200,70000210
71,6,5,0.5,1.2000000000000002,-0.10000000000000009,1.1,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p500-w1p200,71000213
72,6,6,0.6000000000000001,1.2000000000000002,0.0,1.2000000000000002,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p600-w1p200,72000216
73,6,7,0.7000000000000001,1.2000000000000002,0.09999999999999998,1.3000000000000003,0.09999999999999998,1.0,0.55,0.9,True,relay-bp-paper-damping-c0p700-w1p200,73000219
74,6,8,0.8,1.2000000000000002,0.19999999999999996,1.4000000000000001,0.19999999999999996,1.0,0.6,0.8,True,relay-bp-paper-damping-c0p800-w1p200,74000222
75,6,9,0.9,1.2000000000000002,0.29999999999999993,1.5,0.29999999999999993,1.0,0.6499999999999999,0.7000000000000001,True,relay-bp-paper-damping-c0p900-w1p200,75000225
76,6,10,1.0,1.2000000000000002,0.3999999999999999,1.6,0.3999999999999999,1.0,0.7,0.6000000000000001,True,relay-bp-paper-damping-c1p000-w1p200,76000228
77,7,0,0.0,1.4000000000000001,-0.7000000000000001,0.7000000000000001,0.0,0.7000000000000001,0.35000000000000003,0.7000000000000001,True,relay-bp-paper-damping-c0p000-w1p400,77000231
78,7,1,0.1,1.4000000000000001,-0.6000000000000001,0.8,0.0,0.8,0.4,0.8,True,relay-bp-paper-damping-c0p100-w1p400,78000234
79,7,2,0.2,1.4000000000000001,-0.5,0.9000000000000001,0.0,0.9000000000000001,0.45000000000000007,0.9000000000000001,True,relay-bp-paper-damping-c0p200-w1p400,79000237
80,7,3,0.30000000000000004,1.4000000000000001,-0.4,1.0,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p300-w1p400,80000240
81,7,4,0.4,1.4000000000000001,-0.30000000000000004,1.1,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p400-w1p400,81000243
82,7,5,0.5,1.4000000000000001,-0.20000000000000007,1.2000000000000002,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p500-w1p400,82000246
83,7,6,0.6000000000000001,1.4000000000000001,-0.09999999999999998,1.3000000000000003,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p600-w1p400,83000249
84,7,7,0.7000000000000001,1.4000000000000001,0.0,1.4000000000000001,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p700-w1p400,84000252
85,7,8,0.8,1.4000000000000001,0.09999999999999998,1.5,0.09999999999999998,1.0,0.55,0.9,True,relay-bp-paper-damping-c0p800-w1p400,85000255
86,7,9,0.9,1.4000000000000001,0.19999999999999996,1.6,0.19999999999999996,1.0,0.6,0.8,True,relay-bp-paper-damping-c0p900-w1p400,86000258
87,7,10,1.0,1.4000000000000001,0.29999999999999993,1.7000000000000002,0.29999999999999993,1.0,0.6499999999999999,0.7000000000000001,True,relay-bp-paper-damping-c1p000-w1p400,87000261
88,8,0,0.0,1.6,-0.8,0.8,0.0,0.8,0.4,0.8,True,relay-bp-paper-damping-c0p000-w1p600,88000264
89,8,1,0.1,1.6,-0.7000000000000001,0.9,0.0,0.9,0.45,0.9,True,relay-bp-paper-damping-c0p100-w1p600,89000267
90,8,2,0.2,1.6,-0.6000000000000001,1.0,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p200-w1p600,90000270
91,8,3,0.30000000000000004,1.6,-0.5,1.1,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p300-w1p600,91000273
92,8,4,0.4,1.6,-0.4,1.2000000000000002,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p400-w1p600,92000276
93,8,5,0.5,1.6,-0.30000000000000004,1.3,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p500-w1p600,93000279
94,8,6,0.6000000000000001,1.6,-0.19999999999999996,1.4000000000000001,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p600-w1p600,94000282
95,8,7,0.7000000000000001,1.6,-0.09999999999999998,1.5,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p700-w1p600,95000285
96,8,8,0.8,1.6,0.0,1.6,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p800-w1p600,96000288
97,8,9,0.9,1.6,0.09999999999999998,1.7000000000000002,0.09999999999999998,1.0,0.55,0.9,True,relay-bp-paper-damping-c0p900-w1p600,97000291
98,8,10,1.0,1.6,0.19999999999999996,1.8,0.19999999999999996,1.0,0.6,0.8,True,relay-bp-paper-damping-c1p000-w1p600,98000294
99,9,0,0.0,1.8,-0.9,0.9,0.0,0.9,0.45,0.9,True,relay-bp-paper-damping-c0p000-w1p800,99000297
100,9,1,0.1,1.8,-0.8,1.0,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p100-w1p800,100000300
101,9,2,0.2,1.8,-0.7,1.1,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p200-w1p800,101000303
102,9,3,0.30000000000000004,1.8,-0.6,1.2000000000000002,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p300-w1p800,102000306
103,9,4,0.4,1.8,-0.5,1.3,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p400-w1p800,103000309
104,9,5,0.5,1.8,-0.4,1.4,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p500-w1p800,104000312
105,9,6,0.6000000000000001,1.8,-0.29999999999999993,1.5,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p600-w1p800,105000315
106,9,7,0.7000000000000001,1.8,-0.19999999999999996,1.6,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p700-w1p800,106000318
107,9,8,0.8,1.8,-0.09999999999999998,1.7000000000000002,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p800-w1p800,107000321
108,9,9,0.9,1.8,0.0,1.8,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p900-w1p800,108000324
109,9,10,1.0,1.8,0.09999999999999998,1.9,0.09999999999999998,1.0,0.55,0.9,True,relay-bp-paper-damping-c1p000-w1p800,109000327
110,10,0,0.0,2.0,-1.0,1.0,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p000-w2p000,110000330
111,10,1,0.1,2.0,-0.9,1.1,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p100-w2p000,111000333
112,10,2,0.2,2.0,-0.8,1.2,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p200-w2p000,112000336
113,10,3,0.30000000000000004,2.0,-0.7,1.3,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p300-w2p000,113000339
114,10,4,0.4,2.0,-0.6,1.4,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p400-w2p000,114000342
115,10,5,0.5,2.0,-0.5,1.5,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p500-w2p000,115000345
116,10,6,0.6000000000000001,2.0,-0.3999999999999999,1.6,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p600-w2p000,116000348
117,10,7,0.7000000000000001,2.0,-0.29999999999999993,1.7000000000000002,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p700-w2p000,117000351
118,10,8,0.8,2.0,-0.19999999999999996,1.8,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p800-w2p000,118000354
119,10,9,0.9,2.0,-0.09999999999999998,1.9,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c0p900-w2p000,119000357
120,10,10,1.0,2.0,0.0,2.0,0.0,1.0,0.5,1.0,True,relay-bp-paper-damping-c1p000-w2p000,120000360
