ranking,decoder,point_id,width_idx,center_idx,center,width,interval_low,interval_high,relay_seed,circuit,memory,p,basis_filter_applied,shots,logical_error_count,seconds,logical_error_rate,logical_success_rate,stderr,relative_error,hit_target,shot_cap_reached
lowest logical error,relay-bp-paper-c0p200-w1p000,57,5,2,0.2,1.0,-0.3,0.7,57000171,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,6736,2,85.81399999999996,0.0002969121140142518,0.9997030878859857,0.00020991739878525488,0.7070017991087384,True,False
lowest logical error,relay-bp-paper-c0p200-w0p600,35,3,2,0.2,0.6000000000000001,-0.10000000000000003,0.5,35000105,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,9944,4,162.17700000000002,0.00040225261464199515,0.999597747385358,0.0002010858514607229,0.4998994267313572,True,False
lowest logical error,relay-bp-paper-c0p300-w1p400,80,7,3,0.30000000000000004,1.4000000000000001,-0.4,1.0,80000240,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2936,2,64.313,0.0006811989100817438,0.9993188010899182,0.00048151628063571267,0.7068658999732262,True,False
lowest logical error,relay-bp-paper-c0p300-w0p800,47,4,3,0.30000000000000004,0.8,-0.09999999999999998,0.7000000000000001,47000141,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1456,1,15.678000000000003,0.0006868131868131869,0.9993131868131868,0.0006865772901252005,0.9996565344222919,True,False
lowest logical error,relay-bp-paper-c0p100-w0p600,34,3,1,0.1,0.6000000000000001,-0.20000000000000004,0.4,34000102,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2152,2,38.288000000000004,0.0009293680297397769,0.9990706319702602,0.0006568569921838365,0.7067781235898082,True,False
lowest logical error,relay-bp-paper-c0p200-w1p200,68,6,2,0.2,1.2000000000000002,-0.4000000000000001,0.8,68000204,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,3032,3,80.286,0.0009894459102902375,0.9990105540897097,0.0005709741788290094,0.5770645700698521,True,False
lowest logical error,relay-bp-paper-c0p300-w1p200,69,6,3,0.30000000000000004,1.2000000000000002,-0.30000000000000004,0.9000000000000001,69000207,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1008,1,9.433,0.000992063492063492,0.9990079365079365,0.000991571274969405,0.9995038451691602,True,False
lowest logical error,relay-bp-paper-c0p300-w1p000,58,5,3,0.30000000000000004,1.0,-0.19999999999999996,0.8,58000174,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2808,3,34.92100000000001,0.0010683760683760685,0.9989316239316239,0.0006164976209025933,0.5770417731648272,True,False
most sampled,relay-bp-paper-c0p200-w0p600,35,3,2,0.2,0.6000000000000001,-0.10000000000000003,0.5,35000105,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,9944,4,162.17700000000002,0.00040225261464199515,0.999597747385358,0.0002010858514607229,0.4998994267313572,True,False
most sampled,relay-bp-paper-c0p200-w1p000,57,5,2,0.2,1.0,-0.3,0.7,57000171,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,6736,2,85.81399999999996,0.0002969121140142518,0.9997030878859857,0.00020991739878525488,0.7070017991087384,True,False
most sampled,relay-bp-paper-c0p100-w0p800,45,4,1,0.1,0.8,-0.30000000000000004,0.5,45000135,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,4449,9,137.68600000000004,0.0020229265003371545,0.9979770734996628,0.0006736264495636078,0.3329960082342768,True,False
most sampled,relay-bp-paper-c0p200-w1p200,68,6,2,0.2,1.2000000000000002,-0.4000000000000001,0.8,68000204,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,3032,3,80.286,0.0009894459102902375,0.9990105540897097,0.0005709741788290094,0.5770645700698521,True,False
most sampled,relay-bp-paper-c0p200-w0p000,2,0,2,0.2,0.0,0.2,0.2,2000006,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,3024,22,139.002,0.007275132275132275,0.9927248677248677,0.001545411017646384,0.21242376897103024,True,False
most sampled,relay-bp-paper-c0p300-w1p400,80,7,3,0.30000000000000004,1.4000000000000001,-0.4,1.0,80000240,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2936,2,64.313,0.0006811989100817438,0.9993188010899182,0.00048151628063571267,0.7068658999732262,True,False
most sampled,relay-bp-paper-c0p100-w1p000,56,5,1,0.1,1.0,-0.4,0.6,56000168,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2857,10,149.379,0.0035001750087504373,0.9964998249912496,0.0011049137369038339,0.31567385463342534,True,False
most sampled,relay-bp-paper-c0p300-w1p000,58,5,3,0.30000000000000004,1.0,-0.19999999999999996,0.8,58000174,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2808,3,34.92100000000001,0.0010683760683760685,0.9989316239316239,0.0006164976209025933,0.5770417731648272,True,False
fastest,relay-bp-paper-c0p600-w1p400,83,7,6,0.6000000000000001,1.4000000000000001,-0.09999999999999998,1.3000000000000003,83000249,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,137,4,3.2110000000000003,0.029197080291970802,0.9708029197080292,0.014383844037744339,0.4926466582927436,True,False
