decoder,point_id,width_idx,center_idx,center,width,interval_low,interval_high,relay_seed,circuit,memory,p,basis_filter_applied,shots,logical_error_count,seconds,logical_error_rate,logical_success_rate,stderr,relative_error,hit_target,shot_cap_reached
relay-bp-paper-c0p000-w0p000,0,0,0,0.0,0.0,0.0,0.0,0,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,912,26,190.845,0.02850877192982456,0.9714912280701754,0.00551075720877997,0.19330040670797433,True,False
relay-bp-paper-c0p100-w0p000,1,0,1,0.1,0.0,0.1,0.1,1000003,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1956,17,141.414,0.008691206543967281,0.9913087934560327,0.0020987470057780818,0.2414793613707016,True,False
relay-bp-paper-c0p200-w0p000,2,0,2,0.2,0.0,0.2,0.2,2000006,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,3024,22,139.002,0.007275132275132275,0.9927248677248677,0.001545411017646384,0.21242376897103024,True,False
relay-bp-paper-c0p300-w0p000,3,0,3,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,3000009,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,520,12,53.951,0.023076923076923078,0.9769230769230769,0.00658441906470595,0.2853248261372578,True,False
relay-bp-paper-c0p400-w0p000,4,0,4,0.4,0.0,0.4,0.4,4000012,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,633,15,69.41,0.023696682464454975,0.976303317535545,0.00604552890610538,0.255121319837647,True,False
relay-bp-paper-c0p500-w0p000,5,0,5,0.5,0.0,0.5,0.5,5000015,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,616,12,60.32,0.01948051948051948,0.9805194805194806,0.0055684974367768685,0.28584953508787925,True,False
relay-bp-paper-c0p600-w0p000,6,0,6,0.6000000000000001,0.0,0.6000000000000001,0.6000000000000001,6000018,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,456,10,53.369,0.021929824561403508,0.9780701754385965,0.0068583582244825915,0.3127411350364062,True,False
relay-bp-paper-c0p700-w0p000,7,0,7,0.7000000000000001,0.0,0.7000000000000001,0.7000000000000001,7000021,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,776,15,81.438,0.019329896907216496,0.9806701030927835,0.004942485183033039,0.2556912334689092,True,False
relay-bp-paper-c0p800-w0p000,8,0,8,0.8,0.0,0.8,0.8,8000024,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,840,13,68.173,0.015476190476190477,0.9845238095238096,0.004258979030982821,0.27519556815581303,True,False
relay-bp-paper-c0p900-w0p000,9,0,9,0.9,0.0,0.9,0.9,9000027,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1000,8,54.119,0.008,0.992,0.0028170906978654416,0.3521363372331802,True,False
relay-bp-paper-c1p000-w0p000,10,0,10,1.0,0.0,1.0,1.0,10000030,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,552,11,63.92999999999999,0.019927536231884056,0.980072463768116,0.005948210900731846,0.29849203792763446,True,False
relay-bp-paper-c0p000-w0p200,11,1,0,0.0,0.2,-0.1,0.1,11000033,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1674,17,179.239,0.01015531660692951,0.9898446833930705,0.0024504877420952788,0.24130096942749982,True,False
relay-bp-paper-c0p100-w0p200,12,1,1,0.1,0.2,0.0,0.2,12000036,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2032,18,150.818,0.008858267716535433,0.9911417322834646,0.002078645503857618,0.2346559813243711,True,False
