     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       912,        26,         0,   190.8,relay-bp-paper-c0p000-w0p000,8f1d1c6452c1a6eff99e94c34b6b3ab070944f61834d8701a642fab25b4b7177,"{""A"":""x^3+y+y^2"",""B"":""y^3+x+x^2"",""basis"":""CX"",""basis_filter_applied"":""Z"",""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""distance"":""12"",""error_rate"":""0.003"",""noise_model"":""uniform_circuit"",""p"":0.003,""rounds"":""12"",""stim_path"":""/hpc/group/pfisterlab/mg551/storage/relay/relay/tests/testdata/bicycle_bivariate/circuit=bicycle_bivariate_144_12_12_memory_Z,distance=12,rounds=12,error_rate=0.003,noise_model=uniform_circuit,basis=CX,A=x^3+y+y^2,B=y^3+x+x^2.stim""}",
      1956,        17,         0,   141.4,relay-bp-paper-c0p100-w0p000,351cf34561aafd7a55421b8e6a8e301fe79885bb29a8b1cac16ea1f550f865aa,"{""A"":""x^3+y+y^2"",""B"":""y^3+x+x^2"",""basis"":""CX"",""basis_filter_applied"":""Z"",""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""distance"":""12"",""error_rate"":""0.003"",""noise_model"":""uniform_circuit"",""p"":0.003,""rounds"":""12"",""stim_path"":""/hpc/group/pfisterlab/mg551/storage/relay/relay/tests/testdata/bicycle_bivariate/circuit=bicycle_bivariate_144_12_12_memory_Z,distance=12,rounds=12,error_rate=0.003,noise_model=uniform_circuit,basis=CX,A=x^3+y+y^2,B=y^3+x+x^2.stim""}",
      3024,        22,         0,   139.0,relay-bp-paper-c0p200-w0p000,a6175b4156b0e7ab0d2ade40fc4bc748ac362c390fa9b0d3b70b887e6985ddab,"{""A"":""x^3+y+y^2"",""B"":""y^3+x+x^2"",""basis"":""CX"",""basis_filter_applied"":""Z"",""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""distance"":""12"",""error_rate"":""0.003"",""noise_model"":""uniform_circuit"",""p"":0.003,""rounds"":""12"",""stim_path"":""/hpc/group/pfisterlab/mg551/storage/relay/relay/tests/testdata/bicycle_bivariate/circuit=bicycle_bivariate_144_12_12_memory_Z,distance=12,rounds=12,error_rate=0.003,noise_model=uniform_circuit,basis=CX,A=x^3+y+y^2,B=y^3+x+x^2.stim""}",
       520,        12,         0,    54.0,relay-bp-paper-c0p300-w0p000,90d066ca59cd520b909209e5be9e2e0a2b0a468cb8c99404e3a816707fba4e1f,"{""A"":""x^3+y+y^2"",""B"":""y^3+x+x^2"",""basis"":""CX"",""basis_filter_applied"":""Z"",""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""distance"":""12"",""error_rate"":""0.003"",""noise_model"":""uniform_circuit"",""p"":0.003,""rounds"":""12"",""stim_path"":""/hpc/group/pfisterlab/mg551/storage/relay/relay/tests/testdata/bicycle_bivariate/circuit=bicycle_bivariate_144_12_12_memory_Z,distance=12,rounds=12,error_rate=0.003,noise_model=uniform_circuit,basis=CX,A=x^3+y+y^2,B=y^3+x+x^2.stim""}",
       633,        15,         0,    69.4,relay-bp-paper-c0p400-w0p000,8383d415c6d97e15683fdd0a47db6eae5f66fe9f0161c71849c6062f1ff4fea4,"{""A"":""x^3+y+y^2"",""B"":""y^3+x+x^2"",""basis"":""CX"",""basis_filter_applied"":""Z"",""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""distance"":""12"",""error_rate"":""0.003"",""noise_model"":""uniform_circuit"",""p"":0.003,""rounds"":""12"",""stim_path"":""/hpc/group/pfisterlab/mg551/storage/relay/relay/tests/testdata/bicycle_bivariate/circuit=bicycle_bivariate_144_12_12_memory_Z,distance=12,rounds=12,error_rate=0.003,noise_model=uniform_circuit,basis=CX,A=x^3+y+y^2,B=y^3+x+x^2.stim""}",
       616,        12,         0,    60.3,relay-bp-paper-c0p500-w0p000,2d6332c532ed18c0cd8587e504b59f2e21163b6552d7321cf5b850886735feec,"{""A"":""x^3+y+y^2"",""B"":""y^3+x+x^2"",""basis"":""CX"",""basis_filter_applied"":""Z"",""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""distance"":""12"",""error_rate"":""0.003"",""noise_model"":""uniform_circuit"",""p"":0.003,""rounds"":""12"",""stim_path"":""/hpc/group/pfisterlab/mg551/storage/relay/relay/tests/testdata/bicycle_bivariate/circuit=bicycle_bivariate_144_12_12_memory_Z,distance=12,rounds=12,error_rate=0.003,noise_model=uniform_circuit,basis=CX,A=x^3+y+y^2,B=y^3+x+x^2.stim""}",
       456,        10,         0,    53.4,relay-bp-paper-c0p600-w0p000,a49dac8d366559e1f346c5f4f0c93ee2fe527c483da9a448f69cb0e936c1d00a,"{""A"":""x^3+y+y^2"",""B"":""y^3+x+x^2"",""basis"":""CX"",""basis_filter_applied"":""Z"",""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""distance"":""12"",""error_rate"":""0.003"",""noise_model"":""uniform_circuit"",""p"":0.003,""rounds"":""12"",""stim_path"":""/hpc/group/pfisterlab/mg551/storage/relay/relay/tests/testdata/bicycle_bivariate/circuit=bicycle_bivariate_144_12_12_memory_Z,distance=12,rounds=12,error_rate=0.003,noise_model=uniform_circuit,basis=CX,A=x^3+y+y^2,B=y^3+x+x^2.stim""}",
       776,        15,         0,    81.4,relay-bp-paper-c0p700-w0p000,ea19dba3804ceb0b8f5441b98139ed20ce402c2aaccd53e5d772d6e96a8d9920,"{""A"":""x^3+y+y^2"",""B"":""y^3+x+x^2"",""basis"":""CX"",""basis_filter_applied"":""Z"",""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""distance"":""12"",""error_rate"":""0.003"",""noise_model"":""uniform_circuit"",""p"":0.003,""rounds"":""12"",""stim_path"":""/hpc/group/pfisterlab/mg551/storage/relay/relay/tests/testdata/bicycle_bivariate/circuit=bicycle_bivariate_144_12_12_memory_Z,distance=12,rounds=12,error_rate=0.003,noise_model=uniform_circuit,basis=CX,A=x^3+y+y^2,B=y^3+x+x^2.stim""}",
       840,        13,         0,    68.2,relay-bp-paper-c0p800-w0p000,8c4393f34f8a032496b7d42216c570e6db5f4d9f7ac2540ad0e433008f4573ed,"{""A"":""x^3+y+y^2"",""B"":""y^3+x+x^2"",""basis"":""CX"",""basis_filter_applied"":""Z"",""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""distance"":""12"",""error_rate"":""0.003"",""noise_model"":""uniform_circuit"",""p"":0.003,""rounds"":""12"",""stim_path"":""/hpc/group/pfisterlab/mg551/storage/relay/relay/tests/testdata/bicycle_bivariate/circuit=bicycle_bivariate_144_12_12_memory_Z,distance=12,rounds=12,error_rate=0.003,noise_model=uniform_circuit,basis=CX,A=x^3+y+y^2,B=y^3+x+x^2.stim""}",
      1000,         8,         0,    54.1,relay-bp-paper-c0p900-w0p000,8b28342996e062d539792bc9ce27f2ae00ab81a75d420144b7467eb5e141e5fe,"{""A"":""x^3+y+y^2"",""B"":""y^3+x+x^2"",""basis"":""CX"",""basis_filter_applied"":""Z"",""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""distance"":""12"",""error_rate"":""0.003"",""noise_model"":""uniform_circuit"",""p"":0.003,""rounds"":""12"",""stim_path"":""/hpc/group/pfisterlab/mg551/storage/relay/relay/tests/testdata/bicycle_bivariate/circuit=bicycle_bivariate_144_12_12_memory_Z,distance=12,rounds=12,error_rate=0.003,noise_model=uniform_circuit,basis=CX,A=x^3+y+y^2,B=y^3+x+x^2.stim""}",
