decoder,circuit,memory,p,shots,errors,seconds,ler,stderr
bpgd-high-init0,bicycle_bivariate_18_4_3_memory_X,X,0.001,76423,390,187808.93000000014,0.005103175745521636,0.00025774915121807684
bpgd-high-init0,bicycle_bivariate_18_4_3_memory_X,X,0.0015,10000,123,19434.579999999984,0.0123,0.0011022118671108563
bpgd-high-init0,bicycle_bivariate_18_4_3_memory_X,X,0.002,10000,214,19418.880000000012,0.0214,0.0014471364828515657
bpgd-high-init0,bicycle_bivariate_18_4_3_memory_X,X,0.0025,10000,361,19409.150000000012,0.0361,0.0018653897716027071
bpgd-high-init0,bicycle_bivariate_18_4_3_memory_X,X,0.003,10000,542,19417.209999999995,0.0542,0.002264119254809693
bpgd-high-init0,bicycle_bivariate_18_4_3_memory_X,X,0.0035,5000,361,9667.139999999994,0.0722,0.0036602502646677043
bpgd-high-init0,bicycle_bivariate_18_4_3_memory_X,X,0.004,5000,474,9662.91,0.0948,0.004142775880976426
bpgd-high-init0,bicycle_bivariate_18_4_3_memory_X,X,0.0045,5000,595,9741.210000000001,0.119,0.004579061039121449
bpgd-high-init0,bicycle_bivariate_18_4_3_memory_X,X,0.005,5000,738,9742.820000000003,0.1476,0.005016258366551707
bpgd-high-init0p9,bicycle_bivariate_18_4_3_memory_X,X,0.001,5963,31,10875.000000000004,0.005198725473754821,0.0009312884227310149
bpgd-high-init0p9,bicycle_bivariate_18_4_3_memory_X,X,0.0015,5963,88,10880.990000000002,0.014757672312594332,0.0015615218210246727
bpgd-high-init0p9,bicycle_bivariate_18_4_3_memory_X,X,0.002,5961,128,10885.880000000003,0.02147290723033048,0.0018774669052851192
bpgd-high-init0p9,bicycle_bivariate_18_4_3_memory_X,X,0.0025,5965,190,10892.089999999995,0.03185247275775356,0.0022737207372740013
bpgd-high-init0p9,bicycle_bivariate_18_4_3_memory_X,X,0.003,5965,237,10889.9,0.039731768650461026,0.0025290650830947984
bpgd-high-init0p9,bicycle_bivariate_18_4_3_memory_X,X,0.0035,5000,338,9114.949999999999,0.0676,0.0035504996831432047
bpgd-high-init0p9,bicycle_bivariate_18_4_3_memory_X,X,0.004,5000,461,9117.609999999999,0.0922,0.004091433978448143
bpgd-high-init0p9,bicycle_bivariate_18_4_3_memory_X,X,0.0045,976,103,1798.8300000000004,0.10553278688524591,0.009834471083557002
bpgd-high-init0p9,bicycle_bivariate_18_4_3_memory_X,X,0.005,977,136,1801.93,0.13920163766632548,0.011074537715240444
bpgd-low-only,bicycle_bivariate_18_4_3_memory_X,X,0.001,100000,460,2307.329000000001,0.0046,0.00021398224225388423
bpgd-low-only,bicycle_bivariate_18_4_3_memory_X,X,0.0015,10000,99,235.27200000000002,0.0099,0.0009900499987374374
bpgd-low-only,bicycle_bivariate_18_4_3_memory_X,X,0.002,10000,225,235.92999999999998,0.0225,0.001483028994996389
bpgd-low-only,bicycle_bivariate_18_4_3_memory_X,X,0.0025,10000,354,235.08300000000003,0.0354,0.0018478863601423116
bpgd-low-only,bicycle_bivariate_18_4_3_memory_X,X,0.003,10000,486,235.445,0.0486,0.002150303234429972
bpgd-low-only,bicycle_bivariate_18_4_3_memory_X,X,0.0035,5000,327,114.101,0.0654,0.003496364969507617
bpgd-low-only,bicycle_bivariate_18_4_3_memory_X,X,0.004,5000,463,114.199,0.0926,0.0040993960530790385
bpgd-low-only,bicycle_bivariate_18_4_3_memory_X,X,0.0045,5000,594,120.995,0.1188,0.004575730761310154
bpgd-low-only,bicycle_bivariate_18_4_3_memory_X,X,0.005,5000,725,120.979,0.145,0.0049794578018093495
msl-bp-damp0p5,bicycle_bivariate_18_4_3_memory_X,X,0.001,100000,470,1797.9699999999996,0.0047,0.00021628476599150484
msl-bp-damp0p5,bicycle_bivariate_18_4_3_memory_X,X,0.0015,10000,112,182.03199999999993,0.0112,0.0010523573537539422
msl-bp-damp0p5,bicycle_bivariate_18_4_3_memory_X,X,0.002,10000,180,178.904,0.018,0.0013295111883696203
msl-bp-damp0p5,bicycle_bivariate_18_4_3_memory_X,X,0.0025,10000,299,178.82000000000002,0.0299,0.0017031144999676328
msl-bp-damp0p5,bicycle_bivariate_18_4_3_memory_X,X,0.003,10000,434,179.50900000000001,0.0434,0.002037558342722976
msl-bp-damp0p5,bicycle_bivariate_18_4_3_memory_X,X,0.0035,5000,339,90.05199999999996,0.0678,0.003555366647759412
msl-bp-damp0p5,bicycle_bivariate_18_4_3_memory_X,X,0.004,5000,400,89.89999999999999,0.08,0.0038366652186501756
msl-bp-damp0p5,bicycle_bivariate_18_4_3_memory_X,X,0.0045,5000,538,88.645,0.1076,0.00438228798688539
msl-bp-damp0p5,bicycle_bivariate_18_4_3_memory_X,X,0.005,5000,608,88.78200000000001,0.1216,0.004621978797008918
