     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    100000,       470,         0,  1798.0,msl-bp-damp0p5,095058dd33aa2a88f2062e1766596ec71bbb3f97236f928847b33ff216dba5d2,"{""A"":""x+1+y"",""B"":""x+1+xy^2"",""basis"":""CX"",""circuit"":""bicycle_bivariate_18_4_3_memory_X"",""distance"":""3"",""error_rate"":""0.001"",""noise_model"":""uniform_circuit"",""p"":0.001,""rounds"":""3"",""stim_path"":""C:\\Users\\User\\Documents\\projects-git\\relay_mother_folder\\relay\\tests\\testdata\\bicycle_bivariate\\circuit=bicycle_bivariate_18_4_3_memory_X,distance=3,rounds=3,error_rate=0.001,noise_model=uniform_circuit,basis=CX,A=x+1+y,B=x+1+xy^2.stim""}",
     10000,       180,         0,   178.9,msl-bp-damp0p5,151c5d8559cd1edb73efe839f5e3a4536d067a9cba13d7a5d574b1b2fdde017b,"{""A"":""x+1+y"",""B"":""x+1+xy^2"",""basis"":""CX"",""circuit"":""bicycle_bivariate_18_4_3_memory_X"",""distance"":""3"",""error_rate"":""0.002"",""noise_model"":""uniform_circuit"",""p"":0.002,""rounds"":""3"",""stim_path"":""C:\\Users\\User\\Documents\\projects-git\\relay_mother_folder\\relay\\tests\\testdata\\bicycle_bivariate\\circuit=bicycle_bivariate_18_4_3_memory_X,distance=3,rounds=3,error_rate=0.002,noise_model=uniform_circuit,basis=CX,A=x+1+y,B=x+1+xy^2.stim""}",
      5000,       400,         0,    89.9,msl-bp-damp0p5,ee2099b0c587b8bdea1279900bf57b259849b5dc0f5bb373f0c26c7fc4687c23,"{""A"":""x+1+y"",""B"":""x+1+xy^2"",""basis"":""CX"",""circuit"":""bicycle_bivariate_18_4_3_memory_X"",""distance"":""3"",""error_rate"":""0.004"",""noise_model"":""uniform_circuit"",""p"":0.004,""rounds"":""3"",""stim_path"":""C:\\Users\\User\\Documents\\projects-git\\relay_mother_folder\\relay\\tests\\testdata\\bicycle_bivariate\\circuit=bicycle_bivariate_18_4_3_memory_X,distance=3,rounds=3,error_rate=0.004,noise_model=uniform_circuit,basis=CX,A=x+1+y,B=x+1+xy^2.stim""}",
     10000,       434,         0,   179.5,msl-bp-damp0p5,d3640d242249588899838601d7a29238e787d3cab90f3f59b772845149cc2bef,"{""A"":""x+1+y"",""B"":""x+1+xy^2"",""basis"":""CX"",""circuit"":""bicycle_bivariate_18_4_3_memory_X"",""distance"":""3"",""error_rate"":""0.003"",""noise_model"":""uniform_circuit"",""p"":0.003,""rounds"":""3"",""stim_path"":""C:\\Users\\User\\Documents\\projects-git\\relay_mother_folder\\relay\\tests\\testdata\\bicycle_bivariate\\circuit=bicycle_bivariate_18_4_3_memory_X,distance=3,rounds=3,error_rate=0.003,noise_model=uniform_circuit,basis=CX,A=x+1+y,B=x+1+xy^2.stim""}",
     10000,       299,         0,   178.8,msl-bp-damp0p5,8f10b5175a16c65d19d0a78cfdf83ad2c6b56db7d191751b1e4c2619f1d9be56,"{""A"":""x+1+y"",""B"":""x+1+xy^2"",""basis"":""CX"",""circuit"":""bicycle_bivariate_18_4_3_memory_X"",""distance"":""3"",""error_rate"":""0.0025"",""noise_model"":""uniform_circuit"",""p"":0.0025,""rounds"":""3"",""stim_path"":""C:\\Users\\User\\Documents\\projects-git\\relay_mother_folder\\relay\\tests\\testdata\\bicycle_bivariate\\circuit=bicycle_bivariate_18_4_3_memory_X,distance=3,rounds=3,error_rate=0.0025,noise_model=uniform_circuit,basis=CX,A=x+1+y,B=x+1+xy^2.stim""}",
     10000,       112,         0,   182.0,msl-bp-damp0p5,3f695ad85f5f666dba3e35be64678bd1052198feed8e2c194eca83d5a21ac8de,"{""A"":""x+1+y"",""B"":""x+1+xy^2"",""basis"":""CX"",""circuit"":""bicycle_bivariate_18_4_3_memory_X"",""distance"":""3"",""error_rate"":""0.0015"",""noise_model"":""uniform_circuit"",""p"":0.0015,""rounds"":""3"",""stim_path"":""C:\\Users\\User\\Documents\\projects-git\\relay_mother_folder\\relay\\tests\\testdata\\bicycle_bivariate\\circuit=bicycle_bivariate_18_4_3_memory_X,distance=3,rounds=3,error_rate=0.0015,noise_model=uniform_circuit,basis=CX,A=x+1+y,B=x+1+xy^2.stim""}",
      5000,       339,         0,    90.1,msl-bp-damp0p5,e6ccd2e1b5a2b4f4b0c66e5bd9e0d392cded10cc64a447cf63e079a3d3700e3e,"{""A"":""x+1+y"",""B"":""x+1+xy^2"",""basis"":""CX"",""circuit"":""bicycle_bivariate_18_4_3_memory_X"",""distance"":""3"",""error_rate"":""0.0035"",""noise_model"":""uniform_circuit"",""p"":0.0035,""rounds"":""3"",""stim_path"":""C:\\Users\\User\\Documents\\projects-git\\relay_mother_folder\\relay\\tests\\testdata\\bicycle_bivariate\\circuit=bicycle_bivariate_18_4_3_memory_X,distance=3,rounds=3,error_rate=0.0035,noise_model=uniform_circuit,basis=CX,A=x+1+y,B=x+1+xy^2.stim""}",
      5000,       538,         0,    88.6,msl-bp-damp0p5,87a254146edd35c82fca31b170b744f3e2097234e4c8d567f275fb2a4d79b879,"{""A"":""x+1+y"",""B"":""x+1+xy^2"",""basis"":""CX"",""circuit"":""bicycle_bivariate_18_4_3_memory_X"",""distance"":""3"",""error_rate"":""0.0045"",""noise_model"":""uniform_circuit"",""p"":0.0045,""rounds"":""3"",""stim_path"":""C:\\Users\\User\\Documents\\projects-git\\relay_mother_folder\\relay\\tests\\testdata\\bicycle_bivariate\\circuit=bicycle_bivariate_18_4_3_memory_X,distance=3,rounds=3,error_rate=0.0045,noise_model=uniform_circuit,basis=CX,A=x+1+y,B=x+1+xy^2.stim""}",
      5000,       608,         0,    88.8,msl-bp-damp0p5,5136aa08bd15ef5ca9e2b41571eb20d67a47b5e7616b60233ae2d0db106f09fa,"{""A"":""x+1+y"",""B"":""x+1+xy^2"",""basis"":""CX"",""circuit"":""bicycle_bivariate_18_4_3_memory_X"",""distance"":""3"",""error_rate"":""0.005"",""noise_model"":""uniform_circuit"",""p"":0.005,""rounds"":""3"",""stim_path"":""C:\\Users\\User\\Documents\\projects-git\\relay_mother_folder\\relay\\tests\\testdata\\bicycle_bivariate\\circuit=bicycle_bivariate_18_4_3_memory_X,distance=3,rounds=3,error_rate=0.005,noise_model=uniform_circuit,basis=CX,A=x+1+y,B=x+1+xy^2.stim""}",
     10000,        99,         0,   235.3,bpgd-low-only,698dc00c368ee8e4760c9071acdb338543c62bfd88e2e12230c79ff09d49e2a3,"{""A"":""x+1+y"",""B"":""x+1+xy^2"",""basis"":""CX"",""circuit"":""bicycle_bivariate_18_4_3_memory_X"",""distance"":""3"",""error_rate"":""0.0015"",""noise_model"":""uniform_circuit"",""p"":0.0015,""rounds"":""3"",""stim_path"":""C:\\Users\\User\\Documents\\projects-git\\relay_mother_folder\\relay\\tests\\testdata\\bicycle_bivariate\\circuit=bicycle_bivariate_18_4_3_memory_X,distance=3,rounds=3,error_rate=0.0015,noise_model=uniform_circuit,basis=CX,A=x+1+y,B=x+1+xy^2.stim""}",
