decoder,circuit,memory,p,shots,errors,seconds,ler,stderr
mem-bp,bicycle_bivariate_18_4_3_memory_X,X,0.001,2000,14,444.212,0.007,0.0018642692938521516
mem-bp,bicycle_bivariate_18_4_3_memory_X,X,0.002,1000,18,211.212,0.018,0.004204283529925164
mem-bp,bicycle_bivariate_18_4_3_memory_X,X,0.003,1000,43,203.27200000000005,0.043,0.006414904519944158
mem-bp,bicycle_bivariate_18_4_3_memory_X,X,0.004,100,11,21.452999999999996,0.11,0.03128897569432403
mem-bp,bicycle_bivariate_18_4_3_memory_X,X,0.005,50,7,11.106,0.14,0.04907137658554119
mem-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_X,X,0.001,2000,2,485.727,0.001,0.0007067531393633848
mem-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_X,X,0.002,1000,13,234.441,0.013,0.003582038525755969
mem-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_X,X,0.003,1000,36,226.14300000000006,0.036,0.005891010100144117
mem-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_X,X,0.004,100,7,24.029999999999998,0.07,0.02551470164434615
mem-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_X,X,0.005,50,5,11.89,0.1,0.042426406871192854
msl-bp,bicycle_bivariate_18_4_3_memory_X,X,0.001,2000,30,419.539,0.015,0.0027179955849853765
msl-bp,bicycle_bivariate_18_4_3_memory_X,X,0.002,1000,52,199.95499999999998,0.052,0.007021111023192838
msl-bp,bicycle_bivariate_18_4_3_memory_X,X,0.003,1000,127,190.33100000000005,0.127,0.010529529904036551
msl-bp,bicycle_bivariate_18_4_3_memory_X,X,0.004,100,21,20.446,0.21,0.0407308237088326
msl-bp,bicycle_bivariate_18_4_3_memory_X,X,0.005,50,16,10.155000000000001,0.32,0.06596969000988256
msl-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_X,X,0.001,2000,6,468.069,0.003,0.0012229063741758812
msl-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_X,X,0.002,1000,9,221.84,0.009,0.002986469487538756
msl-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_X,X,0.003,1000,26,213.58400000000003,0.026,0.0050322956987840055
msl-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_X,X,0.004,100,6,21.534,0.06,0.023748684174075833
msl-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_X,X,0.005,50,6,12.341,0.12,0.04595650117230423
mem-bp,bicycle_bivariate_18_4_3_memory_Z,Z,0.001,5095,16,1136.972,0.003140333660451423,0.0007838497338712197
mem-bp,bicycle_bivariate_18_4_3_memory_Z,Z,0.002,4057,74,897.4500000000002,0.018240078876016762,0.002100939283033122
mem-bp,bicycle_bivariate_18_4_3_memory_Z,Z,0.003,200,11,49.158,0.055,0.016120638945153507
mem-bp,bicycle_bivariate_18_4_3_memory_Z,Z,0.004,300,17,69.535,0.056666666666666664,0.013348602368232609
mem-bp,bicycle_bivariate_18_4_3_memory_Z,Z,0.005,100,15,27.102999999999994,0.15,0.035707142142714254
mem-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_Z,Z,0.001,4833,11,1223.2469999999996,0.002276019035795572,0.0006854641609157335
mem-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_Z,Z,0.002,3765,40,930.0669999999998,0.010624169986719787,0.0016708815494843401
mem-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_Z,Z,0.003,200,7,76.11999999999999,0.035,0.012995191418367026
mem-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_Z,Z,0.004,300,16,77.18800000000003,0.05333333333333334,0.012972906239401265
mem-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_Z,Z,0.005,100,10,29.559999999999995,0.1,0.030000000000000002
msl-bp,bicycle_bivariate_18_4_3_memory_Z,Z,0.001,5243,63,1113.269,0.012016021361815754,0.0015047535203669318
msl-bp,bicycle_bivariate_18_4_3_memory_Z,Z,0.002,4247,237,893.12,0.05580409700965387,0.0035222726279888787
msl-bp,bicycle_bivariate_18_4_3_memory_Z,Z,0.003,200,26,43.312,0.13,0.02378024390118823
msl-bp,bicycle_bivariate_18_4_3_memory_Z,Z,0.004,300,58,69.954,0.19333333333333333,0.022800259907550437
msl-bp,bicycle_bivariate_18_4_3_memory_Z,Z,0.005,100,22,25.448999999999998,0.22,0.04142463035441596
msl-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_Z,Z,0.001,4955,15,1170.1699999999998,0.0030272452068617556,0.0007804473597856715
msl-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_Z,Z,0.002,3937,71,908.2520000000001,0.018034036068072135,0.00212085988158809
msl-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_Z,Z,0.003,200,12,56.32600000000001,0.06,0.016792855623746664
msl-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_Z,Z,0.004,300,17,73.22300000000001,0.056666666666666664,0.013348602368232609
msl-bp-cdamp-0p5,bicycle_bivariate_18_4_3_memory_Z,Z,0.005,100,12,28.07800000000001,0.12,0.03249615361854384
